Date,Bitly,Source,Tags,Clicks
4/6/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
4/6/22,bit.ly/LA-GoldenChange,direct,LA_PMT,1
4/8/22,bit.ly/LA-GoldenChange,direct,LA_PMT,1
4/12/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
4/14/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
4/19/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,1
4/28/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,3
5/10/22,bit.ly/LA-GoldenChange,http://partners.bit.ly/qr,LA_PMT,2
4/1/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/1/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
4/1/22,bit.ly/togetherDMV,direct,DV Target Markets,1
4/2/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/4/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/5/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,4
4/5/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
4/6/22,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
4/6/22,bit.ly/togetherDMV,direct,DV Target Markets,1
4/7/22,bit.ly/togetherDMV,direct,DV Target Markets,3
4/7/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/8/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
4/10/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/11/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/11/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
4/12/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/12/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
4/13/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/13/22,bit.ly/togetherDMV,direct,DV Target Markets,1
4/14/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
4/14/22,bit.ly/togetherDMV,direct,DV Target Markets,2
4/16/22,bit.ly/togetherDMV,https://nphchq.com/millennium1/,DV Target Markets,1
4/16/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/17/22,bit.ly/togetherDMV,direct,DV Target Markets,1
4/18/22,bit.ly/togetherDMV,direct,DV Target Markets,3
4/18/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
4/19/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/20/22,bit.ly/togetherDMV,direct,DV Target Markets,28
4/21/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/22/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/22/22,bit.ly/togetherDMV,direct,DV Target Markets,1
4/23/22,bit.ly/togetherDMV,direct,DV Target Markets,14
4/23/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/24/22,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
4/24/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/25/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/26/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/26/22,bit.ly/togetherDMV,direct,DV Target Markets,2
4/27/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,3
4/28/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
4/29/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
4/29/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
4/30/22,bit.ly/togetherDMV,direct,DV Target Markets,1
5/1/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/1/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
5/2/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
5/2/22,bit.ly/togetherDMV,direct,DV Target Markets,1
5/3/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,4
5/3/22,bit.ly/togetherDMV,direct,DV Target Markets,2
5/4/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/5/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/5/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
5/6/22,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
5/6/22,bit.ly/togetherDMV,http://partners.bit.ly/qr,DV Target Markets,1
5/7/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
5/9/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
5/9/22,bit.ly/togetherDMV,https://www.rootedinresilience.co/,DV Target Markets,1
5/10/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/12/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/13/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,2
5/15/22,bit.ly/togetherDMV,https://nphchq.com/,DV Target Markets,1
5/9/22,bit.ly/PMT_DREF,direct,pmt / NY_PMT,2
4/1/22,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,3
4/12/22,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/togetherBOS,direct,HPO Target Market,2
5/6/22,bit.ly/togetherBOS,http://partners.bit.ly/qr,HPO Target Market,1
4/1/22,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,3
4/12/22,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
4/26/22,bit.ly/togetherMIA,direct,HPO Target Market,1
5/6/22,bit.ly/togetherMIA,direct,HPO Target Market,2
5/6/22,bit.ly/togetherMIA,http://partners.bit.ly/qr,HPO Target Market,1
4/16/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
4/19/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
4/19/22,bit.ly/togetherATL,direct,,1
4/20/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,4
4/20/22,bit.ly/togetherATL,https://www.google.com/,,1
4/21/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,7
4/21/22,bit.ly/togetherATL,https://www.rootedinresilience.co/atlanta-ga,,1
4/21/22,bit.ly/togetherATL,direct,,1
4/22/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,3
4/22/22,bit.ly/togetherATL,direct,,2
4/22/22,bit.ly/togetherATL,https://www.google.com/,,1
4/22/22,bit.ly/togetherATL,http://partners.bit.ly/qr,,1
4/23/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,4
4/23/22,bit.ly/togetherATL,http://partners.bit.ly/qr,,2
4/24/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
4/26/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
4/26/22,bit.ly/togetherATL,direct,,1
4/28/22,bit.ly/togetherATL,https://www.google.com/,,1
5/1/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
5/6/22,bit.ly/togetherATL,http://partners.bit.ly/qr,,1
5/6/22,bit.ly/togetherATL,direct,,1
5/10/22,bit.ly/togetherATL,https://www.rootedinresilience.co/,,1
5/11/22,bit.ly/togetherATL,direct,,1
5/12/22,bit.ly/togetherATL,direct,,1
4/29/22,bit.ly/togetherCHI,direct,,3
5/6/22,bit.ly/togetherCHI,http://partners.bit.ly/qr,,1
5/6/22,bit.ly/togetherCHI,direct,,1
5/10/22,bit.ly/togetherCHI,direct,,1
4/1/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/1/22,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,3
4/6/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/6/22,bit.ly/togetherDTX,direct,HPO Target Market,1
4/8/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/12/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/12/22,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
4/20/22,bit.ly/togetherDTX,direct,HPO Target Market,2
4/20/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/24/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
4/24/22,bit.ly/togetherDTX,direct,HPO Target Market,1
4/25/22,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
5/6/22,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
5/6/22,bit.ly/togetherDTX,direct,HPO Target Market,1
4/1/22,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,3
4/12/22,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,5
4/12/22,bit.ly/togetherDTM,direct,HPO Target Market,3
4/12/22,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
4/13/22,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,3
4/18/22,bit.ly/togetherDTM,https://t.co/,HPO Target Market,2
4/18/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/19/22,bit.ly/togetherDTM,https://t.co/,HPO Target Market,4
4/19/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/29/22,bit.ly/togetherDTM,direct,HPO Target Market,1
5/6/22,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
5/10/22,bit.ly/togetherDTM,direct,HPO Target Market,1
5/11/22,bit.ly/togetherDTM,direct,HPO Target Market,1
4/1/22,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
4/5/22,bit.ly/togetherNY,http://partners.bit.ly/qr,HPO Target Market,1
4/25/22,bit.ly/togetherNY,direct,HPO Target Market,1
5/9/22,bit.ly/togetherNY,direct,HPO Target Market,2
5/10/22,bit.ly/togetherNY,direct,HPO Target Market,1
4/1/22,bit.ly/togetherWI,http://partners.bit.ly/qr,HPO Target Market,1
